workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,baseline,5865.0,17050.298380221655,20561.0,58.41534944798405,45.0,3387.0,84.0,125.0,20561.0,29554.0,4,350
workloada,alaska,6583.0,15190.642564180465,20423.0,67.74205552563286,47.0,28863.0,94.0,148.0,20423.0,29688.0,8,350
workloada,baseline,6259.0,15976.993129892955,20377.0,62.744025126367966,44.0,5159.0,93.0,134.0,20377.0,29449.0,8,350
workloada,alaska,7198.0,13892.747985551541,20590.0,72.11262748907237,50.0,2669.0,102.0,143.0,20590.0,29502.0,16,350
workloada,baseline,6735.0,14847.809948032665,20460.0,67.89447702834799,44.0,13831.0,90.0,124.0,20460.0,29493.0,16,350
workloada,alaska,6772.0,14766.686355581807,20499.0,68.53929459973658,48.0,3841.0,93.0,154.0,20499.0,29559.0,32,350
workloada,baseline,6673.0,14985.76352465158,20451.0,66.74568480758887,47.0,14951.0,92.0,126.0,20451.0,29621.0,32,350
workloada,alaska,6169.0,16210.082671421624,20421.0,62.37985407178884,45.0,2271.0,93.0,141.0,20421.0,29537.0,1,450
workloada,baseline,5915.0,16906.170752324597,20373.0,58.84911402346243,44.0,679.0,85.0,134.0,20373.0,29401.0,1,450
workloada,alaska,6377.0,15681.354869060688,20539.0,63.88329519450801,46.0,2235.0,96.0,141.0,20539.0,29594.0,2,450
workloada,baseline,6403.0,15617.679212868969,20651.0,65.69062030894388,45.0,30607.0,90.0,131.0,20651.0,29560.0,2,450
workloada,alaska,7153.0,13980.14818957081,20497.0,71.51783187783577,48.0,2439.0,98.0,134.0,20497.0,29505.0,4,450
workloada,baseline,6133.0,16305.233980107614,20411.0,62.53392778403802,45.0,29711.0,90.0,136.0,20411.0,29348.0,4,450
workloada,alaska,7214.0,13861.93512614361,20716.0,71.83935122610542,50.0,2375.0,106.0,143.0,20716.0,29479.0,8,450
workloada,baseline,6130.0,16313.21370309951,20598.0,60.82182736187979,44.0,3667.0,90.0,165.0,20598.0,29480.0,8,450
workloada,alaska,6627.0,15089.78421608571,20536.0,66.99318270354499,46.0,2409.0,90.0,130.0,20536.0,29583.0,16,450
workloada,baseline,5967.0,16758.840288252053,20479.0,61.001416084769765,43.0,35263.0,83.0,131.0,20479.0,29349.0,16,450
workloada,alaska,7061.0,14162.2999575131,20686.0,71.13303683650778,49.0,2703.0,104.0,155.0,20686.0,29492.0,32,450
workloada,baseline,7027.0,14230.823964707557,20370.0,69.47064310260187,49.0,1607.0,100.0,129.0,20370.0,29390.0,32,450
workloada,alaska,7210.0,13869.625520110956,20581.0,71.98731840046645,48.0,5375.0,102.0,135.0,20581.0,29476.0,1,550
workloada,baseline,5938.0,16840.68710003368,20580.0,58.84606413994169,45.0,712.0,97.0,136.0,20580.0,29383.0,1,550
workloada,alaska,6930.0,14430.01443001443,20331.0,71.20107225419311,50.0,36639.0,98.0,139.0,20331.0,29653.0,2,550
workloada,baseline,7036.0,14212.620807276862,20440.0,70.65557729941291,48.0,29279.0,95.0,131.0,20440.0,29440.0,2,550
