workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,baseline,7170.0,13947.001394700139,20571.0,71.17976763404793,39.0,21279.0,100.0,126.0,20571.0,29404.0,4,350
workloada,alaska,10530.0,9496.67616334283,20420.0,107.11165523996083,44.0,33055.0,123.0,164.0,20420.0,29468.0,8,350
workloada,baseline,10113.0,9888.262632255513,20497.0,102.03029711665121,59.0,17583.0,122.0,148.0,20497.0,29629.0,8,350
workloada,alaska,10801.0,9258.401999814832,20524.0,111.01992788930033,56.0,33983.0,129.0,161.0,20524.0,29170.0,16,350
workloada,baseline,10148.0,9854.158454867955,20536.0,100.37811647837943,39.0,16863.0,119.0,157.0,20536.0,29353.0,16,350
workloada,alaska,9761.0,10244.851961889151,20447.0,98.98635496649875,44.0,22079.0,133.0,169.0,20447.0,29516.0,32,350
workloada,baseline,10124.0,9877.518767285657,20501.0,100.28266913809082,39.0,1636.0,130.0,155.0,20501.0,29500.0,32,350
workloada,alaska,11553.0,8655.76040855189,20485.0,115.76690261166708,42.0,6643.0,132.0,172.0,20485.0,29391.0,1,450
workloada,baseline,9335.0,10712.372790573112,20555.0,93.39605935295549,45.0,18207.0,109.0,140.0,20555.0,29479.0,1,450
workloada,alaska,8697.0,11498.217776244683,20592.0,87.0833818958819,53.0,2967.0,140.0,172.0,20592.0,29579.0,2,450
workloada,baseline,8776.0,11394.712853236098,20584.0,88.125,45.0,21791.0,110.0,144.0,20584.0,29658.0,2,450
workloada,alaska,11960.0,8361.204013377926,20361.0,121.26550758803594,49.0,7011.0,146.0,176.0,20361.0,29664.0,4,450
workloada,baseline,9867.0,10134.792743488395,20446.0,98.18453487234667,59.0,781.0,133.0,153.0,20446.0,29626.0,4,450
workloada,alaska,10976.0,9110.787172011662,20501.0,111.40056582605726,44.0,33759.0,130.0,172.0,20501.0,29426.0,8,450
workloada,baseline,9906.0,10094.891984655764,20444.0,98.8801604382704,42.0,16591.0,125.0,176.0,20444.0,29616.0,8,450
workloada,alaska,10922.0,9155.832265152902,20511.0,110.05787138608551,44.0,3031.0,131.0,169.0,20511.0,29453.0,16,450
workloada,baseline,8613.0,11610.356437942644,20670.0,85.08800193517175,39.0,1259.0,110.0,152.0,20670.0,29442.0,16,450
workloada,alaska,9878.0,10123.506782749544,20570.0,99.00573650947983,45.0,17103.0,136.0,170.0,20570.0,29572.0,32,450
workloada,baseline,11122.0,8991.188635137565,20470.0,111.13966780654617,47.0,21311.0,127.0,154.0,20470.0,29353.0,32,450
workloada,alaska,10259.0,9747.538746466516,20604.0,103.41579304989322,47.0,17263.0,125.0,150.0,20604.0,29413.0,1,550
workloada,baseline,11058.0,9043.22662325918,20525.0,112.09880633373935,52.0,34271.0,132.0,182.0,20525.0,29550.0,1,550
workloada,alaska,11310.0,8841.732979664013,20271.0,112.97972472990972,47.0,7623.0,137.0,165.0,20271.0,29812.0,2,550
workloada,baseline,10747.0,9304.922303898762,20445.0,108.90829053558328,40.0,33151.0,128.0,156.0,20445.0,29558.0,2,550
workloada,alaska,11298.0,8851.124092759781,20577.0,113.53112698644117,43.0,3057.0,140.0,225.0,20577.0,29592.0,4,550
workloada,baseline,7281.0,13734.377145996428,20355.0,73.73402112503071,40.0,32927.0,93.0,124.0,20355.0,29498.0,4,550
workloada,alaska,10064.0,9936.406995230525,20451.0,103.04659918830374,42.0,28319.0,129.0,164.0,20451.0,29600.0,8,550
workloada,baseline,10231.0,9774.215619196559,20490.0,101.93172279160567,55.0,2313.0,123.0,151.0,20490.0,29599.0,8,550
workloada,alaska,9395.0,10643.959552953698,20448.0,95.05946791862284,49.0,27311.0,148.0,179.0,20448.0,29509.0,16,550
workloada,baseline,10531.0,9495.774380400722,20611.0,106.02590849546358,48.0,32991.0,127.0,150.0,20611.0,29268.0,16,550
workloada,alaska,10110.0,9891.196834817012,20446.0,103.57463562555023,42.0,34239.0,116.0,158.0,20446.0,29392.0,32,550
workloada,baseline,9791.0,10213.46134204882,20603.0,98.0059700043683,43.0,16879.0,122.0,150.0,20603.0,29580.0,32,550
workloada,alaska,9785.0,10219.724067450179,20480.0,98.597509765625,41.0,16799.0,122.0,153.0,20480.0,29504.0,1,650
workloada,baseline,10057.0,9943.323058566173,20454.0,100.03603207196636,52.0,6479.0,123.0,160.0,20454.0,29450.0,1,650
workloada,alaska,8319.0,12020.675561966582,20562.0,84.4242777939889,40.0,16879.0,123.0,172.0,20562.0,29560.0,2,650
workloada,baseline,8084.0,12370.113805047007,20567.0,80.12111635143677,43.0,1020.0,105.0,143.0,20567.0,29551.0,2,650
