workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,3770.0,26525.19893899204,20541.0,38.051944890706395,27.0,1699.0,55.0,86.0,20541.0,29538.0,16,150
workloada,baseline,4739.0,21101.498206372653,20465.0,47.29938920107501,27.0,18927.0,53.0,94.0,20465.0,29424.0,16,150
workloada,baseline,4440.0,22522.522522522522,20612.0,42.917135649136426,23.0,713.0,51.0,83.0,20612.0,29307.0,16,150
workloada,alaska,3979.0,25131.942699170646,20507.0,40.296825474228314,27.0,14487.0,54.0,95.0,20507.0,29249.0,32,150
workloada,alaska,4303.0,23239.600278875205,20512.0,42.1529348673947,27.0,1923.0,52.0,90.0,20512.0,29578.0,32,150
workloada,baseline,4676.0,21385.7998289136,20449.0,46.30167734363538,35.0,14207.0,53.0,89.0,20449.0,29374.0,32,150
workloada,baseline,4531.0,22070.183182520414,20527.0,45.90914405417255,25.0,22543.0,54.0,90.0,20527.0,29580.0,32,150
workloada,alaska,4206.0,23775.558725630053,20558.0,41.73757174822453,34.0,1662.0,51.0,82.0,20558.0,29449.0,1,250
workloada,alaska,4756.0,21026.072329688814,20422.0,47.41401429830575,35.0,1560.0,56.0,95.0,20422.0,29289.0,1,250
workloada,baseline,4138.0,24166.26389560174,20498.0,40.854863889159915,31.0,8567.0,56.0,84.0,20498.0,29626.0,1,250
workloada,baseline,3468.0,28835.06343713956,20445.0,34.777696258253854,25.0,14367.0,52.0,88.0,20445.0,29542.0,1,250
workloada,alaska,4697.0,21290.185224611454,20539.0,46.22654462242563,28.0,1540.0,54.0,94.0,20539.0,29390.0,2,250
workloada,alaska,4467.0,22386.38907544213,20532.0,44.63671342294954,32.0,1587.0,54.0,93.0,20532.0,29637.0,2,250
workloada,baseline,3289.0,30404.378230465187,20508.0,32.169836161497955,24.0,443.0,49.0,81.0,20508.0,29597.0,2,250
workloada,baseline,5054.0,19786.307874950533,20601.0,49.31158681617397,39.0,532.0,65.0,98.0,20601.0,29489.0,2,250
workloada,alaska,4203.0,23792.529145848202,20697.0,42.264289510557084,33.0,24975.0,50.0,81.0,20697.0,29479.0,4,250
workloada,alaska,4766.0,20981.9555182543,20523.0,47.26487355649759,35.0,7139.0,53.0,97.0,20523.0,29489.0,4,250
workloada,baseline,4811.0,20785.699438786116,20566.0,47.514489934843915,32.0,15687.0,52.0,90.0,20566.0,29364.0,4,250
workloada,baseline,4624.0,21626.29757785467,20521.0,44.641635397885096,32.0,574.0,52.0,84.0,20521.0,29469.0,4,250
workloada,alaska,3928.0,25458.248472505093,20667.0,39.30110804664441,27.0,13999.0,52.0,96.0,20667.0,29480.0,8,250
workloada,alaska,4694.0,21303.79207498935,20377.0,47.1024684693527,28.0,21391.0,54.0,89.0,20377.0,29451.0,8,250
workloada,baseline,3439.0,29078.22041291073,20394.0,34.47504167892517,24.0,17423.0,50.0,84.0,20394.0,29212.0,8,250
workloada,baseline,3390.0,29498.525073746314,20397.0,33.22454282492524,25.0,452.0,48.0,79.0,20397.0,29897.0,8,250
workloada,alaska,4128.0,24224.80620155039,20442.0,40.383083846981705,33.0,1645.0,50.0,88.0,20442.0,29516.0,16,250
