time_ms,rss
0,2088960
150,22536192
300,57409536
450,87687168
600,127696896
750,150675456
900,178249728
1051,213663744
1201,247283712
1351,280535040
1501,306966528
1651,306966528
1801,306966528
1951,306966528
2038,299671552
2189,299671552
2339,278175744
2489,278175744
2682,234237952
2832,234237952
2983,234237952
3083,208674816
3234,208674816
3410,176615424
3560,176615424
3710,176615424
3753,158384128
3904,158384128
4054,158384128
4204,158384128
4354,158384128
4504,158384128
4654,158384128
4805,158384128
4955,158384128
5105,158384128
5255,158384128
5405,158384128
5555,158384128
5706,158384128
5856,158384128
6006,158384128
6156,158384128
6306,158384128
6456,158384128
6606,158384128
6757,158384128
6907,158384128
7057,158384128
7207,158384128
7357,158384128
7507,158384128
7658,158384128
7808,158384128
7958,158384128
8108,158384128
8258,158384128
8408,158384128
8559,158384128
8709,158384128
8859,158384128
9009,158384128
9159,158384128
9309,158384128
9460,158384128
9610,158384128
9760,158384128
9910,158384128
10060,158384128
10210,158384128
10360,158384128
10511,158384128
10661,158384128
10811,158384128
10961,158384128
11111,158384128
11261,158384128
11412,158384128
11562,158384128
