time_ms,rss
0,2101248
150,22929408
300,57802752
450,87539712
600,127279104
750,148365312
900,172965888
1051,207839232
1201,241082368
1351,274063360
1501,306233344
1651,306814976
1801,306814976
1951,306814976
2039,300261376
2189,300261376
2339,300261376
2489,300261376
2640,300261376
2790,300261376
2875,255918080
3026,255918080
3176,255918080
3326,255918080
3476,255918080
3626,255918080
3776,255918080
3926,255918080
3988,223395840
4139,223395840
4289,223395840
4439,223395840
4589,223395840
4739,223395840
4889,223395840
5047,197005312
5197,197005312
5347,197005312
5498,197005312
5648,197005312
5798,197005312
5974,164347904
6124,164347904
6274,164347904
6425,164347904
6575,164347904
6725,164347904
6875,164347904
6931,158060544
7081,158060544
7231,158060544
7381,158060544
7531,158060544
7681,158060544
7832,158060544
7982,158060544
8132,158060544
8282,158060544
8432,158060544
8582,158060544
8733,158060544
8883,158060544
9033,158060544
9183,158060544
9333,158060544
9483,158060544
9633,158060544
9784,158060544
9934,158060544
10084,158060544
10234,158060544
10384,158060544
10534,158060544
10684,158060544
10834,158060544
10985,158060544
11135,158060544
11285,158060544
11435,158060544
11585,158060544
