time_ms,rss
0,2064384
150,28250112
300,76910592
450,122597376
600,155578368
750,200183808
900,248303616
1050,293449728
1200,306966528
1350,306966528
1500,306966528
1651,306966528
1801,306966528
1951,306966528
2023,288821248
2173,288821248
2323,288821248
2473,288821248
2503,269922304
2653,269922304
2804,269922304
2962,251056128
3112,251056128
3262,251056128
3396,232448000
3546,232448000
3696,232448000
3818,215007232
3969,215007232
4119,215007232
4269,215007232
4419,215007232
4569,215007232
4719,215007232
4869,215007232
5019,215007232
5169,215007232
5319,215007232
5470,215007232
5620,215007232
5770,215007232
5920,215007232
6070,215007232
6220,215007232
6370,215007232
6520,215007232
6670,215007232
6820,215007232
6971,215007232
7121,215007232
7271,215007232
7421,215007232
7571,215007232
7721,215007232
7871,215007232
8021,215007232
8171,215007232
8321,215007232
8471,215007232
8622,215007232
8772,215007232
8922,215007232
9072,215007232
9222,215007232
9372,215007232
9522,215007232
9672,215007232
9822,215007232
9972,215007232
10122,215007232
10273,215007232
10423,215007232
10573,215007232
10723,215007232
10873,215007232
11023,215007232
11173,215007232
