time_ms,rss
0,2064384
150,20590592
300,50327552
450,80334848
600,109531136
750,138457088
900,157921280
1050,186036224
1200,216727552
1351,246734848
1501,275931136
1651,304046080
1801,306479104
1951,306688000
2101,306688000
2251,306688000
2401,306688000
2552,306688000
2702,306688000
2852,306688000
3051,288399360
3202,288399360
3352,288399360
3502,288399360
3652,288399360
3802,288399360
3952,288399360
4123,269504512
4273,269504512
4423,269504512
4574,269504512
4724,269504512
4874,269504512
5024,269504512
5069,250662912
5219,250662912
5369,250662912
5519,250662912
5670,250662912
5820,250662912
5966,231886848
6117,231886848
6267,231886848
6417,231886848
6567,231886848
6717,231886848
6866,214642688
7016,214642688
7166,214642688
7316,214642688
7466,214642688
7616,214642688
7766,214642688
7917,214642688
8067,214642688
8217,214642688
8367,214642688
8517,214642688
8667,214642688
8819,214642688
8969,214642688
9119,214642688
9269,214642688
9419,214642688
9569,214642688
9719,214642688
9869,214642688
10019,214642688
10170,214642688
10320,214642688
10470,214642688
10620,214642688
10770,214642688
10920,214642688
11070,214642688
11220,214642688
11370,214642688
11521,214642688
11671,214642688
11821,214642688
